Remote Host,Logname,User,Time,Request,Status,Bytes Sent,Referer,User-Agent
78.153.140.177,-,-,[03/Aug/2024:06:55:26 +0000],"GET /.env.example HTTP/1.1",404,196,"-","Mozilla/5.0 (Linux; U; Android 2.3.4; en-us; A1_07 Build/GRJ22) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
78.153.140.177,-,-,[03/Aug/2024:06:55:28 +0000],"GET / HTTP/1.0",400,362,"-","-"
78.153.140.177,-,-,[03/Aug/2024:06:55:32 +0000],"GET /.env.production HTTP/1.1",404,196,"-","Mozilla/5.0(compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)"
78.153.140.177,-,-,[03/Aug/2024:06:55:34 +0000],"GET /.env.prod HTTP/1.1",404,196,"-","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.76 Safari/537.36 OPR/43.0.2442.806"
78.153.140.177,-,-,[03/Aug/2024:06:55:41 +0000],"GET /.env.bak HTTP/1.1",404,196,"-","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
78.153.140.177,-,-,[03/Aug/2024:06:55:47 +0000],"GET / HTTP/1.0",400,362,"-","-"
78.153.140.177,-,-,[03/Aug/2024:06:55:52 +0000],"GET /public/.env HTTP/1.1",404,196,"-","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_3; nl-nl) AppleWebKit/527+ (KHTML, like Gecko) Version/3.1.1 Safari/525.20"
78.153.140.177,-,-,[03/Aug/2024:06:56:16 +0000],"GET / HTTP/1.0",400,362,"-","-"
78.153.140.177,-,-,[03/Aug/2024:06:56:18 +0000],"GET / HTTP/1.0",400,362,"-","-"
78.153.140.177,-,-,[03/Aug/2024:06:56:18 +0000],"GET /core/.env HTTP/1.1",404,196,"-","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0"
78.153.140.177,-,-,[03/Aug/2024:06:56:26 +0000],"GET / HTTP/1.0",400,362,"-","-"
78.153.140.177,-,-,[03/Aug/2024:06:56:38 +0000],"GET /local/.env HTTP/1.1",404,196,"-","Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4 (compatible; SBooksNet/1.0; +http://s-books.net/crawl_policy)"
78.153.140.177,-,-,[03/Aug/2024:06:56:39 +0000],"GET /crm/.env HTTP/1.1",404,196,"-","Mozilla/5.0 (X11; U; Linux i686; zh-TW; rv:1.8.1.3) Gecko/20070309 Firefox/2.0.0.3"
78.153.140.177,-,-,[03/Aug/2024:06:56:45 +0000],"GET / HTTP/1.0",400,362,"-","-"
78.153.140.177,-,-,[03/Aug/2024:06:56:47 +0000],"GET / HTTP/1.0",400,362,"-","-"
78.153.140.177,-,-,[03/Aug/2024:06:56:54 +0000],"GET / HTTP/1.0",400,362,"-","-"
78.153.140.177,-,-,[03/Aug/2024:06:56:55 +0000],"GET /.env.save HTTP/1.1",404,196,"-","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
78.153.140.177,-,-,[03/Aug/2024:06:57:03 +0000],"GET / HTTP/1.0",400,362,"-","-"
78.153.140.177,-,-,[03/Aug/2024:06:57:05 +0000],"GET /apps/.env HTTP/1.1",404,196,"-","Mozilla/5.0 (X11; Linux i686; U; en) Opera 8.52"
78.153.140.177,-,-,[03/Aug/2024:06:57:06 +0000],"GET / HTTP/1.0",400,362,"-","-"
78.153.140.177,-,-,[03/Aug/2024:06:57:07 +0000],"GET / HTTP/1.0",400,362,"-","-"
78.153.140.177,-,-,[03/Aug/2024:06:57:13 +0000],"GET / HTTP/1.0",400,362,"-","-"
78.153.140.177,-,-,[03/Aug/2024:06:57:16 +0000],"GET / HTTP/1.0",400,362,"-","-"
78.153.140.177,-,-,[03/Aug/2024:06:57:16 +0000],"GET /database/.env HTTP/1.1",404,196,"-","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
78.153.140.177,-,-,[03/Aug/2024:06:57:19 +0000],"GET /.env.local HTTP/1.1",404,196,"-","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.87 Safari/537.36"
78.153.140.177,-,-,[03/Aug/2024:06:57:21 +0000],"GET / HTTP/1.0",400,362,"-","-"
78.153.140.177,-,-,[03/Aug/2024:06:57:22 +0000],"GET /config/.env HTTP/1.1",404,196,"-","Mozilla/4.0 (compatible; MSIE 5.0; Windows 2000) Opera 6.0  [de]"
78.153.140.177,-,-,[03/Aug/2024:06:57:27 +0000],"GET /vendor/.env HTTP/1.1",404,196,"-","Mozilla/5.0 (Android 5.1.1; Mobile; rv:48.0) Gecko/48.0 Firefox/48.0"
78.153.140.177,-,-,[03/Aug/2024:06:57:30 +0000],"GET / HTTP/1.0",400,362,"-","-"
78.153.140.177,-,-,[03/Aug/2024:06:57:32 +0000],"GET /.env.dev HTTP/1.1",404,196,"-","Mozilla/5.0 (Windows; U; Windows NT 5.1; ja; rv:1.9.2a1pre) Gecko/20090402 Firefox/3.6a1pre (.NET CLR 3.5.30729)"
78.153.140.177,-,-,[03/Aug/2024:06:57:35 +0000],"GET / HTTP/1.0",400,362,"-","-"
78.153.140.177,-,-,[03/Aug/2024:06:57:35 +0000],"GET /blog/.env HTTP/1.1",404,196,"-","Mozilla/4.0 (compatible; MSIE 5.0; Windows XP) Opera 6.01  [it]"
78.153.140.177,-,-,[03/Aug/2024:06:57:38 +0000],"GET /cgi-bin/.env HTTP/1.1",404,196,"-","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Win64; x64; Trident/4.0; .NET CLR 2.0.50727; SLCC2; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
78.153.140.177,-,-,[03/Aug/2024:06:57:39 +0000],"GET / HTTP/1.0",400,362,"-","-"
80.82.77.202,-,-,[03/Aug/2024:07:02:01 +0000],"GET / HTTP/1.0",200,6,"-","Opera/9.80 (Android; Opera Mini/9.0.1829/66.318; U; en) Presto/2.12.423 Version/12.16"
83.97.73.245,-,-,[03/Aug/2024:07:08:40 +0000],"GET /actuator/gateway/routes HTTP/1.1",404,196,"-","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
45.79.120.183,-,-,[03/Aug/2024:07:14:37 +0000],"GET / HTTP/1.0",400,362,"-","-"
45.79.120.183,-,-,[03/Aug/2024:07:14:56 +0000],"GET / HTTP/1.0",400,362,"-","-"
206.168.34.48,-,-,[03/Aug/2024:07:18:37 +0000],"GET / HTTP/1.1",200,6,"-","-"
206.168.34.48,-,-,[03/Aug/2024:07:18:50 +0000],"GET / HTTP/1.1",200,6,"-","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
